method,category,n,mean,ci_low,ci_high,interpretation
DUET,de,50,0.8702655168748455,0.8552863611085001,0.8844515019840783,sensitivity
DUET,dp,50,0.6698287623410263,0.6469969494477928,0.6936731101496852,sensitivity
DUET,dm,50,0.6845770007953434,0.6632466262076964,0.7067898465937504,sensitivity
DUET,db,50,0.31947887263568003,0.27557733752319535,0.36368311209024784,sensitivity
DUET,ee,50,0.02195818641881676,0.0031016790951321365,0.045775261339499496,false-positive proportion
DUET,ep,50,0.029176709446799415,0.002160919540229885,0.06282590580795662,false-positive proportion
MAST,de,50,0.8693150668693497,0.8543899180301971,0.8834105326823307,sensitivity
MAST,dp,50,0.6686684037266812,0.645661219006345,0.6924147034647447,sensitivity
MAST,dm,50,0.6837885808337251,0.6624748530551239,0.7057568546850729,sensitivity
MAST,db,50,0.31802052232439787,0.27399774976187874,0.3618713170695664,sensitivity
MAST,ee,50,0.021465207196480724,0.0030058936545191094,0.044752544778456305,false-positive proportion
MAST,ep,50,0.02867824412654274,0.0020689655172413794,0.06186794270354403,false-positive proportion
wilcoxon,de,50,0.8691152171527916,0.8525426364082461,0.8855985665098882,sensitivity
wilcoxon,dp,50,0.7169735590493995,0.6907992459851408,0.7430426921548422,sensitivity
wilcoxon,dm,50,0.7289762846239941,0.7039224445893671,0.7534980634919941,sensitivity
wilcoxon,db,50,0.35543725639422946,0.32372771343358503,0.3910675408095551,sensitivity
wilcoxon,ee,50,0.004824494347006223,0.00228908977590444,0.007723931455810078,false-positive proportion
wilcoxon,ep,50,0.008645172761310372,0.0035045411304870837,0.014839797610587182,false-positive proportion
diffxpy,de,50,0.9810710278139605,0.9772500450469207,0.9846760153568156,sensitivity
diffxpy,dp,50,0.9241337350442219,0.9132322455477073,0.9351481929618815,sensitivity
diffxpy,dm,50,0.9303830385312662,0.9209781698028087,0.9398797183788618,sensitivity
diffxpy,db,50,0.6951016133360968,0.6527461258998805,0.7380815730169428,sensitivity
diffxpy,ee,50,0.006718345605208752,0.004873120583619028,0.0089847784946003,false-positive proportion
diffxpy,ep,50,0.0084584365218486,0.005872700529243825,0.011581476200917803,false-positive proportion
DESeq2,de,50,0.9921256704868785,0.9889741201561231,0.9948366923580774,sensitivity
DESeq2,dp,50,0.9544315535900946,0.9482587813939718,0.9605031085586052,sensitivity
DESeq2,dm,50,0.9578109205937575,0.9528087350132262,0.9629186629342946,sensitivity
DESeq2,db,50,0.6503781225316441,0.607920495390968,0.6921648128906334,sensitivity
DESeq2,ee,50,0.005384205036126081,0.0045210787802339334,0.006214201808143033,false-positive proportion
DESeq2,ep,50,0.004155642692909815,0.0030354080089734056,0.005337630443240543,false-positive proportion
